地區,政黨,號次,得票數,得票率
臺北市北投區榮華里,台灣團結聯盟,4,410,8.43%
臺北市北投區榮華里,中國國民黨,5,2281,46.94%
臺北市北投區榮華里,新黨,6,188,3.86%
臺北市北投區榮華里,健保免費連線,7,21,0.43%
臺北市北投區榮華里,綠黨,8,176,3.62%
臺北市北投區榮華里,親民黨,9,249,5.12%
臺北市北投區榮華里,中華民國臺灣基本法連線,10,9,0.18%
臺北市北投區榮華里,台灣主義黨,11,4,0.08%
臺北市北投區裕民里,台灣國民會議,1,50,1.03%
臺北市北投區裕民里,人民最大黨,2,18,0.37%
臺北市北投區裕民里,民主進步黨,3,1476,30.45%
臺北市北投區裕民里,台灣團結聯盟,4,434,8.95%
臺北市北投區裕民里,中國國民黨,5,2283,47.11%
臺北市北投區裕民里,新黨,6,131,2.70%
臺北市北投區裕民里,健保免費連線,7,39,0.80%
臺北市北投區裕民里,綠黨,8,152,3.13%
臺北市北投區裕民里,親民黨,9,248,5.11%
臺北市北投區裕民里,中華民國臺灣基本法連線,10,7,0.14%
臺北市北投區裕民里,台灣主義黨,11,8,0.16%
臺北市北投區振華里,台灣國民會議,1,33,0.66%
臺北市北投區振華里,人民最大黨,2,15,0.30%
臺北市北投區振華里,民主進步黨,3,1455,29.12%
臺北市北投區振華里,台灣團結聯盟,4,472,9.44%
臺北市北投區振華里,中國國民黨,5,2357,47.18%
臺北市北投區振華里,新黨,6,190,3.80%
臺北市北投區振華里,健保免費連線,7,34,0.68%
臺北市北投區振華里,綠黨,8,153,3.06%
臺北市北投區振華里,親民黨,9,274,5.48%
臺北市北投區振華里,中華民國臺灣基本法連線,10,5,0.10%
臺北市北投區振華里,台灣主義黨,11,7,0.14%
臺北市北投區永和里,台灣國民會議,1,60,1.08%
臺北市北投區永和里,人民最大黨,2,17,0.30%
臺北市北投區永和里,民主進步黨,3,1726,31.35%
臺北市北投區永和里,台灣團結聯盟,4,546,9.91%
臺北市北投區永和里,中國國民黨,5,2461,44.70%
臺北市北投區永和里,新黨,6,202,3.66%
臺北市北投區永和里,健保免費連線,7,34,0.61%
臺北市北投區永和里,綠黨,8,140,2.54%
臺北市北投區永和里,親民黨,9,308,5.59%
臺北市北投區永和里,中華民國臺灣基本法連線,10,5,0.09%
臺北市北投區永和里,台灣主義黨,11,6,0.10%
臺北市北投區永欣里,台灣國民會議,1,39,0.81%
臺北市北投區永欣里,人民最大黨,2,7,0.14%
臺北市北投區永欣里,民主進步黨,3,1290,26.93%
臺北市北投區永欣里,台灣團結聯盟,4,354,7.39%
臺北市北投區永欣里,中國國民黨,5,2412,50.36%
臺北市北投區永欣里,新黨,6,227,4.74%
臺北市北投區永欣里,健保免費連線,7,19,0.39%
臺北市北投區永欣里,綠黨,8,163,3.40%
臺北市北投區永欣里,親民黨,9,270,5.63%
臺北市北投區永欣里,中華民國臺灣基本法連線,10,6,0.12%
臺北市北投區永欣里,台灣主義黨,11,2,0.04%
臺北市北投區永明里,台灣國民會議,1,34,1.12%
臺北市北投區永明里,人民最大黨,2,14,0.46%
臺北市北投區永明里,民主進步黨,3,918,30.32%
臺北市北投區永明里,台灣團結聯盟,4,254,8.39%
臺北市北投區永明里,中國國民黨,5,1466,48.43%
臺北市北投區永明里,新黨,6,76,2.51%
臺北市北投區永明里,健保免費連線,7,27,0.89%
臺北市北投區永明里,綠黨,8,79,2.60%
臺北市北投區永明里,親民黨,9,152,5.02%
臺北市北投區永明里,中華民國臺灣基本法連線,10,3,0.09%
臺北市北投區永明里,台灣主義黨,11,4,0.13%
臺北市北投區東華里,台灣國民會議,1,21,0.70%
臺北市北投區東華里,人民最大黨,2,19,0.64%
臺北市北投區東華里,民主進步黨,3,831,28.00%
臺北市北投區東華里,台灣團結聯盟,4,226,7.61%
臺北市北投區東華里,中國國民黨,5,1474,49.67%
臺北市北投區東華里,新黨,6,137,4.61%
臺北市北投區東華里,健保免費連線,7,29,0.97%
臺北市北投區東華里,綠黨,8,69,2.32%
臺北市北投區東華里,親民黨,9,151,5.08%
臺北市北投區東華里,中華民國臺灣基本法連線,10,7,0.23%
臺北市北投區東華里,台灣主義黨,11,3,0.10%
臺北市北投區吉利里,台灣國民會議,1,26,0.60%
臺北市北投區吉利里,人民最大黨,2,14,0.32%
臺北市北投區吉利里,民主進步黨,3,1294,29.91%
臺北市北投區吉利里,台灣團結聯盟,4,330,7.63%
臺北市北投區吉利里,中國國民黨,5,2191,50.65%
臺北市北投區吉利里,新黨,6,117,2.70%
臺北市北投區吉利里,健保免費連線,7,39,0.90%
臺北市北投區吉利里,綠黨,8,96,2.21%
臺北市北投區吉利里,親民黨,9,202,4.67%
臺北市北投區吉利里,中華民國臺灣基本法連線,10,5,0.11%
臺北市北投區吉利里,台灣主義黨,11,11,0.25%
臺北市北投區吉慶里,台灣國民會議,1,24,0.72%
臺北市北投區吉慶里,人民最大黨,2,8,0.24%
臺北市北投區吉慶里,民主進步黨,3,1153,34.89%
臺北市北投區吉慶里,台灣團結聯盟,4,330,9.98%
臺北市北投區吉慶里,中國國民黨,5,1430,43.28%
臺北市北投區吉慶里,新黨,6,73,2.20%
臺北市北投區吉慶里,健保免費連線,7,18,0.54%
臺北市北投區吉慶里,綠黨,8,101,3.05%
臺北市北投區吉慶里,親民黨,9,164,4.96%
臺北市北投區吉慶里,中華民國臺灣基本法連線,10,0,0.00%
臺北市北投區吉慶里,台灣主義黨,11,3,0.09%
臺北市北投區尊賢里,台灣國民會議,1,23,0.76%
臺北市北投區尊賢里,人民最大黨,2,18,0.59%
臺北市北投區尊賢里,民主進步黨,3,1094,36.23%
臺北市北投區尊賢里,台灣團結聯盟,4,324,10.73%
臺北市北投區尊賢里,中國國民黨,5,1239,41.04%
臺北市北投區尊賢里,新黨,6,72,2.38%
臺北市北投區尊賢里,健保免費連線,7,25,0.82%
臺北市北投區尊賢里,綠黨,8,73,2.41%
臺北市北投區尊賢里,親民黨,9,139,4.60%
臺北市北投區尊賢里,中華民國臺灣基本法連線,10,5,0.16%
臺北市北投區尊賢里,台灣主義黨,11,7,0.23%
臺北市北投區立賢里,台灣國民會議,1,19,0.55%
臺北市北投區立賢里,人民最大黨,2,13,0.37%
臺北市北投區立賢里,民主進步黨,3,1166,34.07%
臺北市北投區立賢里,台灣團結聯盟,4,339,9.90%
臺北市北投區立賢里,中國國民黨,5,1515,44.27%
臺北市北投區立賢里,新黨,6,76,2.22%
臺北市北投區立賢里,健保免費連線,7,36,1.05%
臺北市北投區立賢里,綠黨,8,92,2.68%
臺北市北投區立賢里,親民黨,9,159,4.64%
臺北市北投區立賢里,中華民國臺灣基本法連線,10,3,0.08%
臺北市北投區立賢里,台灣主義黨,11,4,0.11%
臺北市北投區立農里,台灣國民會議,1,41,0.72%
臺北市北投區立農里,人民最大黨,2,14,0.24%
臺北市北投區立農里,民主進步黨,3,1860,33.01%
臺北市北投區立農里,台灣團結聯盟,4,573,10.17%
臺北市北投區立農里,中國國民黨,5,2488,44.16%
臺北市北投區立農里,新黨,6,142,2.52%
臺北市北投區立農里,健保免費連線,7,45,0.79%
臺北市北投區立農里,綠黨,8,167,2.96%
臺北市北投區立農里,親民黨,9,289,5.12%
臺北市北投區立農里,中華民國臺灣基本法連線,10,7,0.12%
臺北市北投區立農里,台灣主義黨,11,8,0.14%
臺北市北投區八仙里,台灣國民會議,1,32,0.92%
臺北市北投區八仙里,人民最大黨,2,11,0.31%
臺北市北投區八仙里,民主進步黨,3,1201,34.82%
臺北市北投區八仙里,台灣團結聯盟,4,331,9.59%
臺北市北投區八仙里,中國國民黨,5,1486,43.08%
臺北市北投區八仙里,新黨,6,108,3.13%
臺北市北投區八仙里,健保免費連線,7,24,0.69%
臺北市北投區八仙里,綠黨,8,63,1.82%
臺北市北投區八仙里,親民黨,9,180,5.21%
臺北市北投區八仙里,中華民國臺灣基本法連線,10,3,0.08%
臺北市北投區八仙里,台灣主義黨,11,10,0.28%
臺北市北投區洲美里,台灣國民會議,1,8,0.61%
臺北市北投區洲美里,人民最大黨,2,10,0.76%
臺北市北投區洲美里,民主進步黨,3,637,48.73%
臺北市北投區洲美里,台灣團結聯盟,4,176,13.46%
臺北市北投區洲美里,中國國民黨,5,379,28.99%
臺北市北投區洲美里,新黨,6,5,0.38%
臺北市北投區洲美里,健保免費連線,7,23,1.75%
臺北市北投區洲美里,綠黨,8,24,1.83%
臺北市北投區洲美里,親民黨,9,43,3.28%
臺北市北投區洲美里,中華民國臺灣基本法連線,10,0,0.00%
臺北市北投區洲美里,台灣主義黨,11,2,0.15%
臺北市北投區奇岩里,台灣國民會議,1,44,0.72%
臺北市北投區奇岩里,人民最大黨,2,17,0.28%
臺北市北投區奇岩里,民主進步黨,3,1976,32.74%
臺北市北投區奇岩里,台灣團結聯盟,4,618,10.24%
臺北市北投區奇岩里,中國國民黨,5,2690,44.58%
臺北市北投區奇岩里,新黨,6,193,3.19%
臺北市北投區奇岩里,健保免費連線,7,54,0.89%
臺北市北投區奇岩里,綠黨,8,160,2.65%
臺北市北投區奇岩里,親民黨,9,267,4.42%
臺北市北投區奇岩里,中華民國臺灣基本法連線,10,6,0.09%
臺北市北投區奇岩里,台灣主義黨,11,9,0.14%
臺北市北投區清江里,台灣國民會議,1,33,0.60%
臺北市北投區清江里,人民最大黨,2,21,0.38%
臺北市北投區清江里,民主進步黨,3,2009,36.60%
臺北市北投區清江里,台灣團結聯盟,4,500,9.11%
臺北市北投區清江里,中國國民黨,5,2321,42.29%
臺北市北投區清江里,新黨,6,117,2.13%
臺北市北投區清江里,健保免費連線,7,72,1.31%
臺北市北投區清江里,綠黨,8,134,2.44%
臺北市北投區清江里,親民黨,9,259,4.71%
臺北市北投區清江里,中華民國臺灣基本法連線,10,9,0.16%
臺北市北投區清江里,台灣主義黨,11,13,0.23%
臺北市北投區中央里,台灣國民會議,1,27,0.50%
臺北市北投區中央里,人民最大黨,2,21,0.39%
臺北市北投區中央里,民主進步黨,3,1976,36.92%
臺北市北投區中央里,台灣團結聯盟,4,562,10.50%
臺北市北投區中央里,中國國民黨,5,2199,41.08%
臺北市北投區中央里,新黨,6,109,2.03%
臺北市北投區中央里,健保免費連線,7,59,1.10%
臺北市北投區中央里,綠黨,8,139,2.59%
臺北市北投區中央里,親民黨,9,244,4.55%
臺北市北投區中央里,中華民國臺灣基本法連線,10,6,0.11%
臺北市北投區中央里,台灣主義黨,11,10,0.18%
臺北市北投區長安里,台灣國民會議,1,29,0.81%
臺北市北投區長安里,人民最大黨,2,10,0.28%
臺北市北投區長安里,民主進步黨,3,1232,34.54%
臺北市北投區長安里,台灣團結聯盟,4,334,9.36%
臺北市北投區長安里,中國國民黨,5,1573,44.11%
臺北市北投區長安里,新黨,6,83,2.32%
臺北市北投區長安里,健保免費連線,7,20,0.56%
臺北市北投區長安里,綠黨,8,102,2.86%
臺北市北投區長安里,親民黨,9,178,4.99%
臺北市北投區長安里,中華民國臺灣基本法連線,10,3,0.08%
臺北市北投區長安里,台灣主義黨,11,2,0.05%
臺北市北投區大同里,台灣國民會議,1,27,0.73%
臺北市北投區大同里,人民最大黨,2,8,0.21%
臺北市北投區大同里,民主進步黨,3,1349,36.68%
臺北市北投區大同里,台灣團結聯盟,4,367,9.98%
臺北市北投區大同里,中國國民黨,5,1523,41.41%
臺北市北投區大同里,新黨,6,77,2.09%
臺北市北投區大同里,健保免費連線,7,20,0.54%
臺北市北投區大同里,綠黨,8,99,2.69%
臺北市北投區大同里,親民黨,9,190,5.16%
臺北市北投區大同里,中華民國臺灣基本法連線,10,5,0.13%
臺北市北投區大同里,台灣主義黨,11,12,0.32%
臺北市北投區溫泉里,台灣國民會議,1,23,0.54%
臺北市北投區溫泉里,人民最大黨,2,13,0.31%
臺北市北投區溫泉里,民主進步黨,3,1428,34.13%
臺北市北投區溫泉里,台灣團結聯盟,4,405,9.67%
臺北市北投區溫泉里,中國國民黨,5,1845,44.09%
臺北市北投區溫泉里,新黨,6,95,2.27%
臺北市北投區溫泉里,健保免費連線,7,44,1.05%
臺北市北投區溫泉里,綠黨,8,106,2.53%
臺北市北投區溫泉里,親民黨,9,209,4.99%
臺北市北投區溫泉里,中華民國臺灣基本法連線,10,8,0.19%
臺北市北投區溫泉里,台灣主義黨,11,8,0.19%
臺北市北投區林泉里,台灣國民會議,1,15,0.75%
臺北市北投區林泉里,人民最大黨,2,10,0.50%
臺北市北投區林泉里,民主進步黨,3,453,22.71%
臺北市北投區林泉里,台灣團結聯盟,4,158,7.92%
臺北市北投區林泉里,中國國民黨,5,1088,54.56%
臺北市北投區林泉里,新黨,6,69,3.46%
臺北市北投區林泉里,健保免費連線,7,20,1.00%
臺北市北投區林泉里,綠黨,8,59,2.95%
臺北市北投區林泉里,親民黨,9,116,5.81%
臺北市北投區林泉里,中華民國臺灣基本法連線,10,4,0.20%
臺北市北投區林泉里,台灣主義黨,11,2,0.10%
臺北市北投區中心里,台灣國民會議,1,24,0.63%
臺北市北投區中心里,人民最大黨,2,13,0.34%
臺北市北投區中心里,民主進步黨,3,1164,30.86%
臺北市北投區中心里,台灣團結聯盟,4,357,9.46%
臺北市北投區中心里,中國國民黨,5,1691,44.84%
臺北市北投區中心里,新黨,6,122,3.23%
臺北市北投區中心里,健保免費連線,7,37,0.98%
臺北市北投區中心里,綠黨,8,111,2.94%
臺北市北投區中心里,親民黨,9,241,6.39%
臺北市北投區中心里,中華民國臺灣基本法連線,10,6,0.15%
臺北市北投區中心里,台灣主義黨,11,5,0.13%
臺北市北投區中庸里,台灣國民會議,1,23,0.83%
臺北市北投區中庸里,人民最大黨,2,7,0.25%
臺北市北投區中庸里,民主進步黨,3,979,35.35%
臺北市北投區中庸里,台灣團結聯盟,4,294,10.61%
臺北市北投區中庸里,中國國民黨,5,1175,42.43%
臺北市北投區中庸里,新黨,6,65,2.34%
臺北市北投區中庸里,健保免費連線,7,24,0.86%
臺北市北投區中庸里,綠黨,8,76,2.74%
臺北市北投區中庸里,親民黨,9,116,4.18%
臺北市北投區中庸里,中華民國臺灣基本法連線,10,4,0.14%
臺北市北投區中庸里,台灣主義黨,11,6,0.21%
臺北市北投區開明里,台灣國民會議,1,30,0.74%
臺北市北投區開明里,人民最大黨,2,16,0.39%
臺北市北投區開明里,民主進步黨,3,1220,30.34%
臺北市北投區開明里,台灣團結聯盟,4,337,8.38%
臺北市北投區開明里,中國國民黨,5,1936,48.14%
臺北市北投區開明里,新黨,6,143,3.55%
臺北市北投區開明里,健保免費連線,7,38,0.94%
臺北市北投區開明里,綠黨,8,101,2.51%
臺北市北投區開明里,親民黨,9,192,4.77%
臺北市北投區開明里,中華民國臺灣基本法連線,10,3,0.07%
臺北市北投區開明里,台灣主義黨,11,5,0.12%
臺北市北投區中和里,台灣國民會議,1,29,0.87%
臺北市北投區中和里,人民最大黨,2,8,0.24%
臺北市北投區中和里,民主進步黨,3,956,28.73%
臺北市北投區中和里,台灣團結聯盟,4,327,9.82%
臺北市北投區中和里,中國國民黨,5,1620,48.69%
臺北市北投區中和里,新黨,6,112,3.36%
臺北市北投區中和里,健保免費連線,7,26,0.78%
臺北市北投區中和里,綠黨,8,81,2.43%
臺北市北投區中和里,親民黨,9,158,4.74%
臺北市北投區中和里,中華民國臺灣基本法連線,10,7,0.21%
臺北市北投區中和里,台灣主義黨,11,3,0.09%
臺北市北投區智仁里,台灣國民會議,1,21,0.53%
臺北市北投區智仁里,人民最大黨,2,24,0.61%
臺北市北投區智仁里,民主進步黨,3,1163,29.86%
臺北市北投區智仁里,台灣團結聯盟,4,305,7.83%
臺北市北投區智仁里,中國國民黨,5,1917,49.22%
臺北市北投區智仁里,新黨,6,108,2.77%
臺北市北投區智仁里,健保免費連線,7,52,1.33%
臺北市北投區智仁里,綠黨,8,92,2.36%
臺北市北投區智仁里,親民黨,9,203,5.21%
臺北市北投區智仁里,中華民國臺灣基本法連線,10,4,0.10%
臺北市北投區智仁里,台灣主義黨,11,5,0.12%
臺北市北投區秀山里,台灣國民會議,1,16,0.74%
臺北市北投區秀山里,人民最大黨,2,17,0.78%
臺北市北投區秀山里,民主進步黨,3,663,30.68%
臺北市北投區秀山里,台灣團結聯盟,4,167,7.72%
臺北市北投區秀山里,中國國民黨,5,1018,47.10%
臺北市北投區秀山里,新黨,6,76,3.51%
臺北市北投區秀山里,健保免費連線,7,26,1.20%
臺北市北投區秀山里,綠黨,8,42,1.94%
臺北市北投區秀山里,親民黨,9,132,6.10%
臺北市北投區秀山里,中華民國臺灣基本法連線,10,0,0.00%
臺北市北投區秀山里,台灣主義黨,11,4,0.18%
臺北市北投區文化里,台灣國民會議,1,21,0.77%
臺北市北投區文化里,人民最大黨,2,9,0.33%
臺北市北投區文化里,民主進步黨,3,530,19.59%
臺北市北投區文化里,台灣團結聯盟,4,131,4.84%
臺北市北投區文化里,中國國民黨,5,1636,60.48%
臺北市北投區文化里,新黨,6,144,5.32%
臺北市北投區文化里,健保免費連線,7,12,0.44%
臺北市北投區文化里,綠黨,8,49,1.81%
臺北市北投區文化里,親民黨,9,167,6.17%
臺北市北投區文化里,中華民國臺灣基本法連線,10,3,0.11%
臺北市北投區文化里,台灣主義黨,11,3,0.11%
臺北市北投區豐年里,台灣國民會議,1,24,0.86%
臺北市北投區豐年里,人民最大黨,2,16,0.57%
臺北市北投區豐年里,民主進步黨,3,938,33.77%
臺北市北投區豐年里,台灣團結聯盟,4,191,6.87%
臺北市北投區豐年里,中國國民黨,5,1322,47.60%
臺北市北投區豐年里,新黨,6,67,2.41%
臺北市北投區豐年里,健保免費連線,7,33,1.18%
臺北市北投區豐年里,綠黨,8,49,1.76%
臺北市北投區豐年里,親民黨,9,126,4.53%
臺北市北投區豐年里,中華民國臺灣基本法連線,10,8,0.28%
臺北市北投區豐年里,台灣主義黨,11,3,0.10%
臺北市北投區稻香里,台灣國民會議,1,24,0.77%
臺北市北投區稻香里,人民最大黨,2,11,0.35%
臺北市北投區稻香里,民主進步黨,3,965,30.96%
臺北市北投區稻香里,台灣團結聯盟,4,240,7.70%
臺北市北投區稻香里,中國國民黨,5,1477,47.40%
臺北市北投區稻香里,新黨,6,86,2.75%
臺北市北投區稻香里,健保免費連線,7,34,1.09%
臺北市北投區稻香里,綠黨,8,84,2.69%
臺北市北投區稻香里,親民黨,9,182,5.84%
臺北市北投區稻香里,中華民國臺灣基本法連線,10,4,0.12%
臺北市北投區稻香里,台灣主義黨,11,9,0.28%
臺北市北投區桃源里,台灣國民會議,1,25,0.69%
臺北市北投區桃源里,人民最大黨,2,17,0.46%
臺北市北投區桃源里,民主進步黨,3,1324,36.57%
臺北市北投區桃源里,台灣團結聯盟,4,363,10.02%
臺北市北投區桃源里,中國國民黨,5,1538,42.48%
臺北市北投區桃源里,新黨,6,81,2.23%
臺北市北投區桃源里,健保免費連線,7,28,0.77%
臺北市北投區桃源里,綠黨,8,74,2.04%
臺北市北投區桃源里,親民黨,9,153,4.22%
臺北市北投區桃源里,中華民國臺灣基本法連線,10,4,0.11%
臺北市北投區桃源里,台灣主義黨,11,13,0.35%
臺北市北投區一德里,台灣國民會議,1,24,0.56%
臺北市北投區一德里,人民最大黨,2,12,0.28%
臺北市北投區一德里,民主進步黨,3,1682,39.69%
臺北市北投區一德里,台灣團結聯盟,4,407,9.60%
臺北市北投區一德里,中國國民黨,5,1678,39.60%
臺北市北投區一德里,新黨,6,80,1.88%
臺北市北投區一德里,健保免費連線,7,37,0.87%
臺北市北投區一德里,綠黨,8,113,2.66%
臺北市北投區一德里,親民黨,9,182,4.29%
臺北市北投區一德里,中華民國臺灣基本法連線,10,9,0.21%
臺北市北投區一德里,台灣主義黨,11,13,0.30%
臺北市北投區關渡里,台灣國民會議,1,44,0.64%
臺北市北投區關渡里,人民最大黨,2,50,0.73%
臺北市北投區關渡里,民主進步黨,3,2307,33.82%
臺北市北投區關渡里,台灣團結聯盟,4,603,8.84%
臺北市北投區關渡里,中國國民黨,5,3038,44.53%
臺北市北投區關渡里,新黨,6,168,2.46%
臺北市北投區關渡里,健保免費連線,7,68,0.99%
臺北市北投區關渡里,綠黨,8,165,2.41%
臺北市北投區關渡里,親民黨,9,345,5.05%
臺北市北投區關渡里,中華民國臺灣基本法連線,10,15,0.21%
臺北市北投區關渡里,台灣主義黨,11,18,0.26%
臺北市北投區泉源里,台灣國民會議,1,13,0.89%
臺北市北投區泉源里,人民最大黨,2,9,0.62%
臺北市北投區泉源里,民主進步黨,3,544,37.51%
臺北市北投區泉源里,台灣團結聯盟,4,167,11.51%
臺北市北投區泉源里,中國國民黨,5,564,38.89%
臺北市北投區泉源里,新黨,6,27,1.86%
臺北市北投區泉源里,健保免費連線,7,16,1.10%
臺北市北投區泉源里,綠黨,8,36,2.48%
臺北市北投區泉源里,親民黨,9,68,4.68%
臺北市北投區泉源里,中華民國臺灣基本法連線,10,1,0.06%
臺北市北投區泉源里,台灣主義黨,11,5,0.34%
臺北市北投區湖山里,台灣國民會議,1,10,0.83%
臺北市北投區湖山里,人民最大黨,2,6,0.49%
臺北市北投區湖山里,民主進步黨,3,412,34.24%
臺北市北投區湖山里,台灣團結聯盟,4,122,10.14%
臺北市北投區湖山里,中國國民黨,5,524,43.55%
臺北市北投區湖山里,新黨,6,27,2.24%
臺北市北投區湖山里,健保免費連線,7,10,0.83%
臺北市北投區湖山里,綠黨,8,24,1.99%
臺北市北投區湖山里,親民黨,9,63,5.23%
臺北市北投區湖山里,中華民國臺灣基本法連線,10,0,0.00%
臺北市北投區湖山里,台灣主義黨,11,5,0.41%
臺北市北投區大屯里,台灣國民會議,1,8,1.10%
臺北市北投區大屯里,人民最大黨,2,3,0.41%
臺北市北投區大屯里,民主進步黨,3,365,50.62%
臺北市北投區大屯里,台灣團結聯盟,4,75,10.40%
臺北市北投區大屯里,中國國民黨,5,214,29.68%
臺北市北投區大屯里,新黨,6,7,0.97%
臺北市北投區大屯里,健保免費連線,7,8,1.10%
臺北市北投區大屯里,綠黨,8,13,1.80%
臺北市北投區大屯里,親民黨,9,26,3.60%
臺北市北投區大屯里,中華民國臺灣基本法連線,10,0,0.00%
臺北市北投區大屯里,台灣主義黨,11,2,0.27%
臺北市北投區湖田里,台灣國民會議,1,6,0.95%
臺北市北投區湖田里,人民最大黨,2,2,0.32%
臺北市北投區湖田里,民主進步黨,3,226,36.15%
臺北市北投區湖田里,台灣團結聯盟,4,59,9.44%
臺北市北投區湖田里,中國國民黨,5,276,44.16%
臺北市北投區湖田里,新黨,6,8,1.28%
臺北市北投區湖田里,健保免費連線,7,2,0.32%
臺北市北投區湖田里,綠黨,8,10,1.60%
臺北市北投區湖田里,親民黨,9,34,5.44%
臺北市北投區湖田里,中華民國臺灣基本法連線,10,0,0.00%
臺北市北投區湖田里,台灣主義黨,11,2,0.32%
臺北市士林區天母里,台灣國民會議,1,26,0.61%
臺北市士林區天母里,人民最大黨,2,10,0.23%
臺北市士林區天母里,民主進步黨,3,1181,27.93%
臺北市士林區天母里,台灣團結聯盟,4,406,9.60%
臺北市士林區天母里,中國國民黨,5,2029,47.98%
臺北市士林區天母里,新黨,6,173,4.09%
臺北市士林區天母里,健保免費連線,7,21,0.49%
臺北市士林區天母里,綠黨,8,128,3.02%
臺北市士林區天母里,親民黨,9,249,5.88%
臺北市士林區天母里,中華民國臺灣基本法連線,10,4,0.09%
臺北市士林區天母里,台灣主義黨,11,1,0.02%
臺北市士林區三玉里,台灣國民會議,1,33,0.90%
臺北市士林區三玉里,人民最大黨,2,10,0.27%
臺北市士林區三玉里,民主進步黨,3,1148,31.36%
臺北市士林區三玉里,台灣團結聯盟,4,309,8.44%
臺北市士林區三玉里,中國國民黨,5,1701,46.47%
臺北市士林區三玉里,新黨,6,113,3.08%
臺北市士林區三玉里,健保免費連線,7,21,0.57%
臺北市士林區三玉里,綠黨,8,107,2.92%
臺北市士林區三玉里,親民黨,9,213,5.81%
臺北市士林區三玉里,中華民國臺灣基本法連線,10,0,0.00%
臺北市士林區三玉里,台灣主義黨,11,5,0.13%
臺北市士林區天福里,台灣國民會議,1,24,0.61%
臺北市士林區天福里,人民最大黨,2,11,0.28%
臺北市士林區天福里,民主進步黨,3,1143,29.36%
臺北市士林區天福里,台灣團結聯盟,4,325,8.34%
臺北市士林區天福里,中國國民黨,5,1909,49.03%
臺北市士林區天福里,新黨,6,143,3.67%
臺北市士林區天福里,健保免費連線,7,27,0.69%
臺北市士林區天福里,綠黨,8,106,2.72%
臺北市士林區天福里,親民黨,9,200,5.13%
臺北市士林區天福里,中華民國臺灣基本法連線,10,2,0.05%
